episode,reward,queue_delay,energy,fairness,resource_utilization,throughput,policy_loss,value_loss,entropy
1,115.64096878752959,0.18978805946758884,0.03387906908874826,0.8550936196567993,0.22082382072638598,0.36600844316741704,1.1863491535186768,0.0,0.0
2,116.29856882130554,0.18013866037091433,0.03440969510392978,0.8543333691484195,0.22004385270175675,0.37567267501881635,1.221631407737732,0.0,0.0
3,117.86667911540806,0.17601122671010627,0.03504120402500469,0.8486049349976973,0.21849024222065389,0.36747399661965824,1.2015843391418457,0.0,0.0
4,119.5140440091283,0.17477078479854877,0.03316763733881512,0.845489923967669,0.21408501416407155,0.36300509134024445,1.2055552005767822,0.0,0.0
5,114.44567722843144,0.16625382864138755,0.03084301628464038,0.8321004677624251,0.2022090217002516,0.34221994484263835,1.2140252590179443,0.0,0.0
6,118.6106609947953,0.17509743478188883,0.03353958962409286,0.849574521066391,0.21861819134596208,0.3672286923418805,1.1755989789962769,0.0,0.0
7,113.2033773937137,0.1657329308730438,0.03317970042339803,0.8334495698077924,0.20990805710814203,0.3545817807066283,1.189221978187561,0.0,0.0
8,117.483221861354,0.17037447554927063,0.03281533156861654,0.8455344527879516,0.21284357370975293,0.3585876745024464,1.1846363544464111,0.0,0.0
9,116.51365807758559,0.16451299023344565,0.03163986266053385,0.8398411818267417,0.2073631495674907,0.3486212046584452,1.1294821500778198,0.0,0.0
10,120.5948457182648,0.1778048773717255,0.03460693369202122,0.8499441906837624,0.22256606697928064,0.3798952015380497,1.2271132469177246,0.0,0.0
11,114.46894447056876,0.16854142192813662,0.03297085083130526,0.8315367741677929,0.20668384427688488,0.34950544066477823,1.2489993572235107,0.0,0.0
12,114.06462114627166,0.18126378789226266,0.033402919958647324,0.846206194044446,0.21462871967551594,0.36173040189693695,1.1328660249710083,0.0,0.0
13,120.32675862971941,0.1810471114616898,0.033797844668903516,0.8476702896817777,0.2187356391602727,0.37195095149073387,1.1812331676483154,0.0,0.0
14,113.58954635932018,0.17982145256720758,0.032719773429012625,0.8381077471681511,0.21335280679089752,0.360110357953321,1.1957342624664307,0.0,0.0
15,116.80758274381385,0.1646060343753231,0.03072340719892836,0.8391121466509401,0.20741208205562564,0.35680929517686855,1.190718412399292,0.0,0.0
16,119.9681414071017,0.18153574276086443,0.0340593412502632,0.8443268782173249,0.22185329712203578,0.37726004327175533,1.2167950868606567,0.0,0.0
17,121.39705940301047,0.1722521394621309,0.03429758748064742,0.8470923003035696,0.21840640587857,0.3709895685436836,1.156449556350708,0.0,0.0
18,116.78781350924008,0.17406701559687404,0.03376028398974883,0.8325084607586019,0.21245473894246186,0.353230135042582,1.1933330297470093,0.0,0.0
19,118.53543247267629,0.16401544088957654,0.03339737807443584,0.8367016617584291,0.20896892704793668,0.3557627552699691,1.1637516021728516,0.0,0.0
20,114.63551680450583,0.17434847463255565,0.03324493072695952,0.843054467819417,0.21767485089094515,0.36751405862136594,1.1428231000900269,0.0,0.0
21,120.35311620081912,0.17218736764500975,0.03190235901058855,0.8409889291930966,0.21659833364714662,0.36467181647932645,1.1850125789642334,0.0,0.0
22,121.76288889010334,0.17804812853317842,0.03392870342586469,0.8471346132785352,0.22344242589687016,0.3807932793810868,1.1811712980270386,0.0,0.0
23,117.32653220989752,0.16617188769376728,0.033148253612764064,0.8389496680902719,0.21353185112426268,0.36273111476784015,1.1700737476348877,0.0,0.0
24,117.69067269116248,0.17273338663283055,0.03275864788975768,0.8379317270336105,0.21607476683968485,0.36287260476592914,1.1383901834487915,0.0,0.0
25,119.14891506178725,0.17260187005833758,0.03346217933183573,0.847519782789768,0.22153529846938486,0.37425372770428866,1.1646676063537598,0.0,0.0
26,117.46008751444774,0.17553229481052532,0.033750638463720666,0.8435000965641168,0.218188774756596,0.36846561093990843,1.1356147527694702,0.0,0.0
27,113.91013617657579,0.16257152264159694,0.03173180557101889,0.8318970769243522,0.20340821687479535,0.34703062089414743,1.1597747802734375,0.0,0.0
28,116.14235568247835,0.16986205748556749,0.03221063765471942,0.839953393999685,0.21367927215430926,0.35654336748101473,1.1509222984313965,0.0,0.0
29,116.15653970172515,0.17180932356972148,0.033475844169278186,0.8404343382190621,0.21440603864434551,0.3680944395004193,1.1310522556304932,0.0,0.0
30,117.46963266131382,0.1625365330981473,0.032136403017911076,0.8452335191241562,0.20699387098015662,0.3506572729035593,1.235211968421936,0.0,0.0
31,117.86553294430682,0.18099847982124484,0.033441123577688234,0.8484761666355197,0.22111404223152883,0.37048886180557783,1.2447868585586548,0.0,0.0
32,112.82232453249951,0.16940905233378914,0.0316508068036168,0.8302830932922558,0.20359370463045792,0.3519957295602249,1.195885419845581,0.0,0.0
33,117.09804673616922,0.1781500745971125,0.032526196014941625,0.8432213532194158,0.2169833418267756,0.36473217967197546,1.2140601873397827,0.0,0.0
34,118.97882057934778,0.16995577025748226,0.03364382385294509,0.8401114760332192,0.21497861709911453,0.36405303474314316,1.197501540184021,0.0,0.0
35,118.39420899609051,0.1662561913762319,0.033716576530077084,0.843682288085463,0.21695314327318016,0.37047787636197577,1.2504817247390747,0.0,0.0
36,118.9009654028074,0.17535379013772812,0.034572944834922556,0.8470587694825135,0.2214442841680753,0.3750331149256797,1.1611746549606323,0.0,0.0
37,117.61738106904832,0.17280007393920457,0.03266111073134705,0.8370429965541395,0.21508603466638349,0.36169673173331585,1.2176966667175293,0.0,0.0
38,117.60411284037045,0.1776130514253964,0.03326128035115711,0.8486634940866187,0.21756477950827874,0.3645779486575413,1.1513410806655884,0.0,0.0
39,114.30156702904104,0.17479648055646885,0.03287590913112244,0.8373700026952274,0.21426518680646744,0.36161930048155266,1.1251263618469238,0.0,0.0
40,116.9275754333108,0.16938407064994002,0.03339049788726614,0.835308282336216,0.21751646082586956,0.36614629782940467,1.1187856197357178,0.0,0.0
41,117.06420680326273,0.17351376760147252,0.03301978876682405,0.8430388892189071,0.21832398386167115,0.36533456289300176,1.2420504093170166,0.0,0.0
42,118.59107498524476,0.15903622787343827,0.032371402268439084,0.8343033384783924,0.20534102167881982,0.3525661688054792,1.1461669206619263,0.0,0.0
43,117.78860339539727,0.17308993086171606,0.03357605081510167,0.8483380194136372,0.21984953366828167,0.3697492149458125,1.1449834108352661,0.0,0.0
44,121.44864499133652,0.18434790234686146,0.03349165529795991,0.8510261668403627,0.22345124903042965,0.38029303867003655,1.200402021408081,0.0,0.0
45,117.67518261239239,0.1724710020371377,0.033823365611149306,0.8414790762551897,0.2153122885249495,0.36452038762304106,1.1441513299942017,0.0,0.0
46,117.0286927031631,0.16949893563697727,0.032910218096742896,0.845396758184284,0.21430434700907675,0.3683111080119126,1.1621168851852417,0.0,0.0
47,117.37391901069488,0.1694848209871229,0.033009491974165285,0.8421602147511699,0.21220994282917946,0.3608927385662201,1.182271122932434,0.0,0.0
48,120.59581919407812,0.17291936830543014,0.032733586903998,0.8516416016610137,0.21848204693141135,0.3699350595805567,1.1408230066299438,0.0,0.0
49,116.60644404731924,0.16236669822592653,0.033217714107133,0.8421727782250005,0.21437893065726552,0.3633474866962904,1.0917630195617676,0.0,0.0
50,113.70995247268924,0.1801938184463453,0.032289330689168866,0.8364905233942065,0.2134264120422177,0.36180795109560493,1.1804064512252808,0.0,0.0
51,114.15242069427143,0.18816911327354818,0.034042647245304085,0.8447111735513761,0.22135670816912068,0.37026843456498193,1.2378873825073242,0.0,0.0
52,120.2697626694452,0.1660225452159495,0.03286976066727774,0.838583596615366,0.21444112465021228,0.3623375739787679,1.2126737833023071,0.0,0.0
53,117.61805123769348,0.17362124873735058,0.033854083427096913,0.84374303343245,0.2186412272335138,0.3675683058608088,1.199637532234192,0.0,0.0
54,117.36975551639824,0.18166993104331847,0.03480668892923601,0.8464661103076824,0.2243131273261934,0.3739300052548974,1.214168906211853,0.0,0.0
55,118.35002164059834,0.1709844930789551,0.03255150307838214,0.8415673575851239,0.21664404110849345,0.36293682065567995,1.1816089153289795,0.0,0.0
