episode,reward,queue_delay,energy,fairness,resource_utilization,throughput,policy_loss,value_loss,entropy
1,129.44365051017468,0.14187772551967662,0.03455895972318568,0.8152526091067317,0.22981934027462192,0.3671759971522471,-0.005169937076667945,248.62627665201822,-0.3334418535232544
2,135.40762484932665,0.14506406390682797,0.03572050753459606,0.826257904305048,0.2421265874508706,0.3914404698226776,-0.005251718439265258,257.8833304511176,-0.3356951028108597
3,133.49797755208266,0.13874197269163585,0.03449108755324865,0.8191376262396663,0.2274210950861476,0.36885740926023497,-0.005266298656351864,239.8391316731771,-0.3326502674155765
4,131.5685594002068,0.13857749600504485,0.0345913758427628,0.8164584785027997,0.2256320432553979,0.36699909924460117,-0.002280568186607626,224.5670598347982,-0.328041715754403
5,125.15431223456393,0.13164928272079085,0.034122389535064565,0.8014190801659044,0.21570918560111949,0.3496657277918064,-0.005164025325535072,198.51629299587674,-0.32395492990811664
6,127.59517988015908,0.13621466557455972,0.03521237802490475,0.8131933394606715,0.22453658524694015,0.35972765201032547,-0.0012119693112456137,195.06115892198352,-0.328282677465015
7,127.78984986983076,0.1361829907773241,0.03323884532860365,0.8042713147085538,0.21960871106236596,0.35660163334134687,-0.002545075077149603,193.85262976752387,-0.3212094571855333
8,128.69464908368937,0.13659950420784683,0.03415196143318366,0.8120151724184665,0.22194310165080958,0.3585393430897726,-0.0012631742801103327,189.32322438557944,-0.317475105325381
9,125.38043025732748,0.1367075812490718,0.034280984120566314,0.8031825785782414,0.22076965515210933,0.35429010680107137,-0.00045228392506639165,178.88704596625433,-0.32253441048993003
10,132.3811862801721,0.14180675589953523,0.03641967433319688,0.8267132243851426,0.23318321208633694,0.3814376195303884,-0.00011496721061929647,192.6970503065321,-0.33162129587597317
11,127.20532110730439,0.1299451470461298,0.03435092208723446,0.8087224428433476,0.21984248860754466,0.35218309962537003,-0.0034666244561473527,175.35318247477213,-0.33648691905869377
12,129.56174327234802,0.13863362615951905,0.03611452214121869,0.8133111493346129,0.22640382499048042,0.3633928043400818,-0.0037887453412016234,179.08376142713757,-0.34324633909596336
13,128.09169660859575,0.14416039702176384,0.03661916007403252,0.8207768998462651,0.22844943059614978,0.37212052135628504,-0.003191315879424413,169.76463911268445,-0.36046787765291
14,127.31536336648271,0.13643095966418853,0.03608445053442504,0.8036402803464232,0.22261310374186102,0.3610680225018229,-0.0026622648713075453,166.97938622368707,-0.37244586315419936
15,124.90969750670233,0.1410288936653939,0.03644641024413996,0.8054538005476656,0.21733544832810214,0.35782093940499493,-0.0038539141985691255,158.76289961073132,-0.3565479748778873
16,129.93575102789927,0.1372676002668798,0.03755059172191547,0.8138071637532639,0.23338491404991019,0.3771685891934121,-0.002226146740011043,172.64593760172525,-0.35929424067338306
17,132.7317098353977,0.14158464169529347,0.037202321044253826,0.8179794744661812,0.22891413193258395,0.3726886826087382,-0.0018052027250329654,172.40033552381726,-0.3803659859630797
18,128.48393308603178,0.14010257878419866,0.03673998304820684,0.8156232052449123,0.22561894472097427,0.36326796105204495,-0.003820216451357636,158.3850572374132,-0.4003099732928806
19,128.6752382327945,0.14190652926363775,0.03691571982984196,0.8131287298997301,0.21986884578864732,0.3575643926637549,-0.004830497265275981,155.55413479275174,-0.40190793242719436
20,129.14394383600103,0.14926881260622338,0.037229918486259006,0.8157581323500431,0.22622842771924023,0.3678830107405463,-0.0019762573906013537,158.40645514594183,-0.3946730825636122
21,127.60270770414978,0.14297932581235712,0.03705285196609165,0.8124749908428631,0.2267251157456286,0.36497977386710534,-0.0025188319268636405,148.29527452256946,-0.40091589093208313
22,130.53607229010473,0.1525123696529026,0.037451976873937184,0.8207665990083103,0.2286127033802029,0.37642699684961073,-0.002982808794412348,157.95355818006726,-0.37959857450591195
23,128.1023602078295,0.14905947255223004,0.03680192069257003,0.818264369090319,0.22241822033019323,0.3596775474601515,-0.002366054790197975,150.03157891167535,-0.38967470824718475
24,126.98422211877252,0.14066887822223112,0.03608043823603076,0.8086372534968067,0.22569234519662656,0.3627139038200968,-0.004708295041281316,143.5839903089735,-0.36884835693571305
25,130.5317857278566,0.14621681317385768,0.036259599884625425,0.819993568218525,0.23275647353200296,0.37457101029742235,-0.0029697458828902906,152.5764889187283,-0.37820996675226426
26,127.86277189797582,0.1402725322582231,0.03602338253890592,0.8141075195785985,0.2311641650753928,0.3693004022406587,-0.0008430515622927083,144.21779039171008,-0.362754934363895
27,122.91531757053981,0.13260922267385145,0.03389154484464214,0.8078019041866755,0.21543921988947765,0.3476153313574499,-0.0007613563858386544,131.55170059204102,-0.3480081972148683
28,123.33027584465991,0.138480006067509,0.03530685063781056,0.8096650322327977,0.22515597578492128,0.3584916248048175,-0.007523395974809925,126.54481548733182,-0.36296521458360886
29,128.8925420185495,0.14208401413053567,0.03584800085578681,0.8120153533851692,0.22580238413061646,0.3678108876853413,-0.0015327708743926552,142.6453594631619,-0.3778808100355996
30,126.18096075404776,0.13634010246222683,0.035561538956371326,0.8131541075886993,0.2203630336119649,0.35212486463315035,-0.008694148156791925,135.2766473558214,-0.40859324402279323
31,125.33450786498437,0.1430173970287249,0.03730616205399705,0.8162039445121094,0.23395236459038743,0.3707575053975069,-0.004073777417134907,130.335263994005,-0.35277873443232644
32,120.50704492375044,0.13255665566211045,0.03447223553273596,0.7938398195143114,0.21600920334095014,0.3534909365618469,-0.005163836137702067,120.31634902954102,-0.3744209756453832
33,124.63643153210661,0.13775193350008574,0.035464163671435,0.8030268614768227,0.22628394880291286,0.35953676207089197,-0.00419883636964692,129.79238001505533,-0.35712600747744244
34,122.92930156989257,0.1432645835787361,0.035105240945596396,0.8095796903046996,0.2290979092748291,0.3652649320254566,-0.00430488190613687,126.56529066297743,-0.32568727764818406
35,130.14770090134786,0.14646216566092168,0.03644103458535158,0.8168458312091296,0.23697459333921816,0.3772517567876467,-0.005062931129133277,147.94563717312283,-0.29762859476937187
36,127.6077599139078,0.14013793420443804,0.03581027631503429,0.8117714737733647,0.23002990414851093,0.37074285539034385,-0.003200430811072389,138.93898349338107,-0.29749342302481335
37,123.55583851990654,0.14206725560743858,0.03465226131048973,0.8027414067479268,0.22245957528426302,0.3536041248913074,-0.002282315658198463,129.6036843193902,-0.29180378715197247
38,128.3259032361331,0.1389141543918421,0.03478096659182843,0.8150499847329649,0.23542511897728993,0.3688572389848908,-0.004671362197970868,138.52977837456598,-0.252962959309419
39,121.44836540251752,0.13856919989178643,0.03417080393847667,0.79802628296812,0.2272565498732348,0.3616485318344566,-0.001475328320844306,121.36448796590169,-0.24214114000399908
40,124.41300632075853,0.14110502262678862,0.03416723322216006,0.8063013433167175,0.23053753967141424,0.3673993975458893,-0.0013974323543758753,125.31167221069336,-0.24912074539396498
