episode,reward,queue_delay,energy,fairness,resource_utilization,throughput
1,52.746738539072965,0.8624702119552334,0.050813773982738196,0.9717196528051207,0.23891308960273736,0.32198921176780976
2,40.08595186261178,0.993309185543917,0.051605213952111526,0.9748887188730031,0.2527007525283712,0.34148230877084934
3,44.62837061911725,0.9483573515587982,0.05147234756829189,0.9736775283519051,0.24915498264405328,0.3365259902619958
4,49.41408386150979,0.8925565247773962,0.05072422661469151,0.9687729696827503,0.24275070409183777,0.3292726852866095
5,47.7218198042455,0.9080977228454418,0.05126889110946946,0.9699910055031817,0.2438047943343375,0.3270823608663902
6,37.66374654877176,0.9838745753670504,0.05082117513363634,0.9652448049861623,0.24490423696573316,0.32325714700462155
7,56.561610411072074,0.8501358680858002,0.05132437620995134,0.978264932054712,0.24382906804008037,0.3336556197606792
8,41.201891484273176,0.9672276868369013,0.051185325485412374,0.968846029754577,0.2482819201653969,0.3329065599538621
9,44.05620840316606,0.9467122863767294,0.05159059990152121,0.9711190439213638,0.2481805608639058,0.33299347727181217
10,41.35544926007495,0.9715996419394725,0.05106989625029474,0.9705231091445576,0.24840423674409043,0.33892510710895657
11,51.785751827140494,0.8875025294806608,0.05142152667617636,0.9759437574776301,0.2439654016790674,0.3355852646268525
12,47.86905055947626,0.9224667828951268,0.051468715711635624,0.974175560881926,0.2493697260178971,0.3369166823574289
13,55.24578431828322,0.8527673941221934,0.051379742577820964,0.9759624786707453,0.24287709169382338,0.325446442443497
14,39.64201380921618,0.9957133178762146,0.05185345111647524,0.9736138613347933,0.2523707068447107,0.3433683701695197
15,43.524898763920085,0.9651441283131504,0.05160551668913295,0.9770274721368298,0.25103771083766047,0.33871273427995596
16,50.72481645455784,0.9076320649787579,0.05135776045549549,0.9786347118431169,0.2500169447013915,0.3403748643708166
17,42.16593501143763,0.96942312631792,0.051545957266695946,0.9729255177157854,0.249244286217786,0.3397668973585011
18,43.70626709738596,0.9522536997864205,0.05154261562329186,0.9737985939818596,0.2474155189073322,0.3314053738047748
19,48.50675453675174,0.9243922350999123,0.05140571503178235,0.9779263030832155,0.2487848329632841,0.34104808833184314
20,42.71950455108497,0.9514463607566943,0.05087820812775526,0.9709806173042776,0.24224314627043445,0.3297421758109873
