episode,reward,queue_delay,energy,fairness,resource_utilization,throughput
1,129.7174020876503,0.1355869569733294,0.034952262202358066,0.8142093420606499,0.21238852536431885,0.3453472150261201
2,133.403154759316,0.13798067298159433,0.035979780514416033,0.8216246038823404,0.2263522057887475,0.3703816509377429
3,132.54523875724394,0.1467273484086282,0.034968517409010885,0.8243953873447372,0.22047643035009848,0.35968745178759437
4,129.8094808099269,0.13728341545499279,0.034355146799265414,0.8160361861359651,0.209403908690295,0.35127684120474256
5,132.40804997185603,0.14137664317898982,0.03497318049743276,0.8255027140606631,0.21146695150523961,0.35060992545617076
6,134.11545092693507,0.14434523097671337,0.035338862433768076,0.8274265339844677,0.21944638567136207,0.36394855798326575
7,128.89572913452432,0.13852102861295307,0.03451015118771713,0.8174929106290632,0.2123904817933989,0.3530719902454737
8,132.9730686565159,0.14483982101581547,0.036197981803290334,0.8255858694091116,0.22568734035379903,0.36854429017186247
9,130.91725897290962,0.1346527487770284,0.034294197700779835,0.8124691818272438,0.21387752450921418,0.3532966542773227
10,133.51300567786066,0.14581113507576368,0.0354420832736293,0.8172586915149253,0.22362463692677287,0.3668887197336831
11,131.9203750471677,0.14292962274632706,0.03559989311116132,0.8278873655986355,0.22442233957488059,0.37550249628320337
12,132.30335166117789,0.14713992413212773,0.03594816608580906,0.8270635007628038,0.22140299360237428,0.3695219148111132
13,133.55524103012303,0.13610708728075077,0.0347789786687813,0.8245339779701097,0.2160772264778763,0.3566828504819554
14,134.9490629237093,0.14424174312337035,0.03526309346473612,0.8244172528533258,0.2217950468957662,0.36797045474058393
15,130.99143803080509,0.14097857446406487,0.03551379958746916,0.8227507610438607,0.22219343720265014,0.36494277305391054
16,134.4807573087835,0.14109875764045535,0.035746626473176196,0.8265827245485142,0.22108693400263366,0.3655646171047318
17,135.75898372203713,0.14628546630987754,0.0363008283270385,0.8325529424709132,0.22661296008795476,0.3776106865730498
18,131.18493406845002,0.14076144131682072,0.03495137647047093,0.8189058579856617,0.2169237346104475,0.3568050732958403
19,135.9082438191139,0.14734522369062056,0.036072914776107294,0.8314382865866106,0.22527241530100986,0.3718012144570063
20,130.50918632120897,0.13445857972034103,0.03451245265629532,0.8221109077877412,0.2121498434731855,0.3468281699639299
