episode,reward,queue_delay,energy,fairness,resource_utilization,throughput
1,113.40137880340937,0.17417043262924992,0.03182554007341509,0.8451039685563414,0.20656533364039067,0.34546239511826915
2,119.99176813700626,0.177108060085998,0.03490896342521637,0.8456320160036201,0.2192037881008663,0.367944362511833
3,114.14182668145155,0.18169229882894608,0.033608549098738234,0.8396229281078121,0.2141258512354374,0.3595292855801855
4,112.0100950906666,0.1717572083924565,0.032907100415274546,0.8356790014561706,0.20300393254124446,0.34922276358289867
5,112.95285434655098,0.1672495467159651,0.03252222859693842,0.8449339756844885,0.20552544005496826,0.3497707081541704
6,122.72996222535112,0.18551533678959375,0.03392802035284039,0.8533744804953239,0.2266092422866082,0.37843312195325446
7,110.42232639177085,0.1744544275596405,0.03208231784468695,0.8406336483926535,0.20652677306738548,0.3518557511449875
8,119.03212729435795,0.18451261775195124,0.034433746812376674,0.8486272273525396,0.21956584000088772,0.3678537207239608
9,114.52432396977807,0.17568966337664674,0.0334756235134375,0.8403254714545267,0.2107400128779044,0.3547126483671462
10,112.59298916478909,0.18831384838818815,0.033867072004173264,0.8422429885033981,0.21683310089219787,0.3655525364918797
11,118.41509898134967,0.17999484043121375,0.0336455408669196,0.8486051333317505,0.2180602805178831,0.3749788577976165
12,115.54835541030575,0.17857114390964401,0.03518908338938228,0.8441855770645721,0.2166971233580026,0.3657933853127029
13,114.91199762170127,0.17226123750476702,0.03311848980500377,0.8442996538353138,0.20863147852530345,0.35467228106992066
14,113.65553838383195,0.18755549596460136,0.033765172685141724,0.8426296143614141,0.2156086390588405,0.3636127199958344
15,115.6019413960544,0.1807279114003799,0.03306901061981623,0.8407266201299561,0.2103686456776012,0.3566481270355021
16,117.61225360295069,0.1691123597426695,0.03339808654744676,0.8507302336461128,0.2144832872382399,0.3635898437977868
17,119.17870952981536,0.18764625177879324,0.03469989379931205,0.8500329023457485,0.2204386165828741,0.37684314203689306
18,115.31399964204311,0.17796567762967547,0.03322563284209865,0.84073044539952,0.2110369261211123,0.35563649886952603
19,117.05436079448947,0.18144547319585966,0.03451567118487887,0.851952236111155,0.21832295836372376,0.3703804152751136
20,115.36691893687903,0.16661898167660041,0.03268712772743076,0.8360917687733274,0.20590410663454825,0.3452159464238957
